requester,event,credit_type,assigned_code_or_url,newly_allocated
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-1,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-2,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-3,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-4,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-5,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-6,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-7,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-8,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-9,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-10,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-11,No
Codex Ambassador,https://luma.com/example-workshop,CODEX_CREDITS,chatgpt.com/p/YOUR-CODE-12,No
